0	363114.04009
0.2	1326889.91501
0.4	1266418.87894
0.6	1220703.00000
0.8	1220703.00000
1	1220703.00000
1.2	1220703.00000
1.4	1220703.00000
1.6	1220703.00000
1.8	1231255.72438
2	1281738.00000
2.2	1281738.00000
2.4	1289963.49902
2.6	1327521.06417
2.8	1220703.00000
3	1220703.00000
3.2	1220703.00000
3.4	1220703.00000
3.6	1229661.91702
3.8	1342773.00000
4	1342773.00000
4.2	1345185.29357
4.4	1402166.36168
4.6	1341863.93710
4.8	1281676.29398
5	1221487.02517
5.2	1220703.00000
5.4	1220703.00000
5.6	1220703.00000
5.8	1220703.00000
6	1220703.00000
6.2	1220703.00000
6.4	1443560.18572
6.6	1409906.47875
6.8	1403808.00000
7	1350253.59378
7.2	1236823.42072
7.4	1220703.00000
7.6	1220703.00000
7.8	1220703.00000
8	1220703.00000
8.2	1220703.00000
8.4	1220703.00000
8.6	1220703.00000
8.8	1220703.00000
9	1173781.89695
9.2	1159667.00000
9.4	1159667.00000
9.6	1294569.68576
9.8	1342773.00000
10	1386546.33418
10.2	1403808.00000
10.4	1403808.00000
10.6	1319493.45932
10.8	1240172.89715
11	1179733.92222
11.2	1159667.00000
11.4	1278121.02867
11.6	1265295.80430
11.8	1220703.00000
12	1220703.00000
12.2	1220703.00000
12.4	1220703.00000
12.6	1220703.00000
12.8	1220703.00000
13	1186303.39213
13.2	1159667.00000
13.4	1159667.00000
13.6	1159667.00000
13.8	1287702.05002
14	1372362.62315
14.2	1280947.66021
14.4	1190340.29541
14.6	1189390.45626
14.8	1191606.23274
15	1188174.65780
15.2	1220703.00000
15.4	1220703.00000
15.6	1220703.00000
15.8	1194485.73980
16	1159667.00000
16.2	1209924.16316
16.4	1281738.00000
16.6	1281738.00000
16.8	1258317.87388
17	1220703.00000
17.2	1198465.85008
17.4	1159667.00000
17.6	1180554.37802
17.8	1220703.00000
18	1201191.15297
18.2	1178420.86325
18.4	1220703.00000
18.6	1220703.00000
18.8	1203662.97220
19	1176161.31730
19.2	1220703.00000
19.4	1205293.69760
19.6	1204208.30902
19.8	1342773.00000
20	1356536.12575
20.2	1364137.54957
20.4	1220703.00000
20.6	1220703.00000
20.8	1220703.00000
21	1220703.00000
21.2	1220703.00000
21.4	1220703.00000
21.6	1220703.00000
21.8	1220703.00000
22	1220703.00000
22.2	1220703.00000
22.4	1220703.00000
22.6	1220703.00000
22.8	1227249.08325
23	1287674.21626
23.2	1342773.00000
23.4	1333230.60359
23.6	1220703.00000
23.8	1220703.00000
24	1220703.00000
24.2	1220703.00000
24.4	1220703.00000
24.6	1220703.00000
24.8	1220703.00000
25	1221442.21798
25.2	1342366.63193
25.4	1403074.39394
25.6	1403808.00000
25.8	1226117.66858
26	1279387.83753
26.2	1281738.00000
26.4	1224229.48428
26.6	1448470.73098
26.8	1295700.53997
27	1225927.47272
27.2	1220703.00000
27.4	1220703.00000
